Model,Test_Accuracy,Test_Precision,Test_Recall,Test_F1_Score,Test_ROC_AUC,Val_Accuracy,Val_F1_Score,Training_Time_Seconds,Overfit_Risk
LogisticRegression,0.8120,0.7840,0.8120,0.7688,0.7776,0.8130,0.7710,0.01,Low
NaiveBayes,0.8335,0.8190,0.8335,0.8043,0.7968,0.8260,0.7917,0.00,Low
RandomForest,0.8615,0.8567,0.8615,0.8426,0.8592,0.8550,0.8343,0.62,Low
XGBoost,0.8615,0.8524,0.8615,0.8482,0.8574,0.8615,0.8484,0.18,Low
AdaBoost,0.8480,0.8353,0.8480,0.8340,0.8434,0.8355,0.8167,0.19,Low
TabM,0.8585,0.8492,0.8585,0.8433,0.8561,0.8560,0.8406,1.25,Low
