Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
XGBoost,0.868,0.8607044419826652,0.868,0.8552220795892169,0.8634659312625415,0.08090353012084961
RandomForest,0.856,0.8458805019254197,0.856,0.8406409878663597,0.8474684237396102,0.4827907085418701
LogisticRegression,0.8125,0.7849784606924004,0.8125,0.769689675567312,0.7774800995139979,0.013745784759521484
